Zip , Population
13082 ,"4,735"
13083 ,"1,704"
13084 ,"4,303"
13087 ,177
13088 ,"22,012"
13090 ,"30,295"
13092 ,"2,527"
13101 ,"2,648"
13102 ,27
13103 ,575
13104 ,"16,266"
13108 ,"6,460"
13110 ,"2,313"
13111 ,"1,496"
13112 ,"2,200"
13113 ,238
13114 ,"6,761"
13115 ,172
13116 ,"3,492"
13117 ,143
13118 ,"6,288"
13120 ,"2,162"
13122 ,"1,136"
13123 ,184
13124 ,109
13126 ,"37,190"
13131 ,"3,682"
13132 ,"3,420"
13134 ,39
13135 ,"6,990"
13136 ,464
13138 ,21
13140 ,"4,353"
13141 ,616
13142 ,"6,141"
13143 ,"2,870"
13144 ,"1,839"
13145 ,"1,909"
13146 ,"2,036"
13147 ,"1,372"
13148 ,"10,647"
13152 ,"8,178"
13153 ,174
13155 ,643
13156 ,"2,162"
13157 ,718
13158 ,"1,676"
13159 ,"5,357"
13160 ,"2,167"
13162 ,637
13163 ,342
13164 ,"2,448"
13165 ,"10,919"
13166 ,"5,565"
13167 ,"3,056"
13202 ,"5,745"
13203 ,"16,437"
13204 ,"19,984"
13205 ,"18,788"
13206 ,"15,997"
13207 ,"13,352"
13208 ,"22,490"
13209 ,"13,047"
13210 ,"27,905"
13211 ,"6,819"
13212 ,"20,348"
13214 ,"8,938"
13215 ,"15,409"
13219 ,"15,318"
13224 ,"8,767"
13301 ,71
13302 ,"1,551"
13303 ,"1,213"
13304 ,"1,600"
13305 ,387
13308 ,"2,973"
13309 ,"5,940"
13310 ,555
13312 ,408
13313 ,555
13314 ,606
13315 ,"1,450"
13316 ,"6,655"
13317 ,"3,787"
13318 ,"1,190"
13319 ,"1,164"
13320 ,"2,064"
13321 ,"1,175"
13322 ,919
13323 ,"11,238"
13324 ,"2,331"
13325 ,942
13326 ,"5,545"
13327 ,"1,973"
13328 ,"1,328"
13329 ,"3,837"
13331 ,148
13332 ,"2,672"
13333 ,56
13334 ,"1,498"
13335 ,"1,650"
13337 ,634
13338 ,"1,032"
13339 ,"6,784"
13340 ,"7,788"
13341 ,172
13342 ,188
13343 ,"1,830"
13345 ,280
13346 ,"6,457"
13348 ,"1,188"
13350 ,"10,080"
13352 ,293
13353 ,31
13354 ,"3,294"
13355 ,802
13357 ,"11,280"
13360 ,487
13361 ,955
13362 ,208
13363 ,"2,375"
13364 ,110
13365 ,"9,134"
13367 ,"8,565"
13368 ,"1,307"
13402 ,"1,576"
13403 ,"7,579"
13404 ,237
13406 ,674
13407 ,"5,280"
13408 ,"3,834"
13409 ,"2,611"
13410 ,255
13411 ,"3,453"
13413 ,"16,227"
13415 ,41
13416 ,"2,385"
13417 ,"2,925"
13418 ,220
13420 ,"1,278"
13421 ,"14,106"
13424 ,"2,663"
13425 ,"2,348"
13428 ,"1,530"
13431 ,"1,995"
13433 ,"2,000"
13435 ,217
13436 ,64
13437 ,435
13438 ,"3,821"
13439 ,"3,655"
13440 ,"42,221"
13441 ,31
13450 ,104
13452 ,"4,645"
13454 ,688
13456 ,"4,246"
13459 ,"2,069"
13460 ,"4,213"
13461 ,"3,072"
13464 ,"1,093"
13468 ,475
13469 ,"1,163"
13470 ,695
13471 ,"3,442"
13472 ,260
13473 ,639
13475 ,41
13476 ,"2,931"
13477 ,"1,802"
13478 ,"2,750"
13480 ,"3,419"
13483 ,212
13484 ,89
13485 ,994
13486 ,547
13488 ,70
13489 ,598
13490 ,"1,446"
13491 ,"3,741"
13492 ,"11,710"
13493 ,"2,034"
13494 ,361
13495 ,"2,304"
13501 ,"38,464"
13502 ,"32,415"
13601 ,"38,348"
13602 ,"3,633"
13603 ,"10,727"
13605 ,"4,907"
13606 ,"3,101"
13607 ,"1,810"
13608 ,"1,502"
13612 ,"2,904"
13613 ,"2,385"
13614 ,412
13615 ,"1,114"
13616 ,"2,184"
13617 ,"11,243"
13618 ,"1,795"
13619 ,"10,706"
13620 ,"2,101"
13621 ,561
13622 ,"2,980"
13623 ,48
13624 ,"5,636"
13625 ,"1,920"
13626 ,"2,147"
13628 ,211
13630 ,"1,318"
13633 ,352
13634 ,"4,879"
13635 ,831
13636 ,286
13637 ,"3,945"
13638 ,260
13639 ,199
13640 ,288
13641 ,49
13642 ,"9,849"
13643 ,72
13646 ,"2,681"
13647 ,68
13648 ,"2,094"
13650 ,"1,433"
13651 ,185
13652 ,"1,864"
13654 ,"3,000"
13655 ,"3,414"
13656 ,"2,895"
13658 ,"1,979"
13659 ,568
13660 ,"2,019"
13661 ,"1,676"
13662 ,"16,692"
13664 ,439
13665 ,"1,413"
13666 ,361
13667 ,"3,017"
13668 ,"3,484"
13669 ,"16,436"
13670 ,490
13672 ,826
13673 ,"2,228"
13674 ,118
13675 ,89
13676 ,"16,728"
13677 ,240
13678 ,163
13679 ,"1,810"
13680 ,"1,301"
13681 ,823
13682 ,896
13684 ,"1,116"
13685 ,"2,306"
13687 ,543
13690 ,935
13691 ,"2,948"
13692 ,78
13693 ,534
13694 ,"1,581"
13695 ,78
13696 ,63
13697 ,"2,009"
13730 ,"3,185"
13731 ,"1,066"
13732 ,"8,101"
13733 ,"5,332"
13734 ,"2,703"
13736 ,"2,252"
13739 ,911
13740 ,475
13743 ,"3,794"
13744 ,"1,284"
13746 ,"2,216"
13748 ,"3,907"
13750 ,858
13751 ,156
13752 ,729
13753 ,"5,710"
13754 ,"3,561"
13755 ,"1,287"
13756 ,498
13757 ,"1,098"
13760 ,"44,585"
13774 ,317
13775 ,"1,841"
13776 ,551
13777 ,664
13778 ,"5,922"
13780 ,"1,111"
13782 ,611
13783 ,"2,199"
13784 ,132
13786 ,664
13787 ,"3,543"
13788 ,"1,042"
13790 ,"17,858"
13794 ,80
13795 ,"3,638"
13796 ,"1,357"
13797 ,"2,109"
13801 ,"1,169"
13802 ,912
13803 ,"4,153"
13804 ,657
13806 ,260
13807 ,"1,217"
13808 ,"1,362"
13809 ,"1,706"
13810 ,"1,104"
13811 ,"4,228"
13812 ,"2,299"
13813 ,629
13815 ,"13,896"
13820 ,"22,746"
13825 ,"3,522"
13826 ,58
13827 ,"11,649"
13830 ,"5,020"
13832 ,673
13833 ,"4,309"
13834 ,47
13835 ,"1,326"
13838 ,"4,450"
13839 ,"1,214"
13841 ,730
13842 ,702
13843 ,"2,007"
13844 ,847
13845 ,60
13846 ,271
13847 ,48
13849 ,"3,893"
13850 ,"22,080"
13856 ,"6,570"
13859 ,269
13860 ,17
13861 ,419
13862 ,"4,531"
13863 ,793
13864 ,"1,096"
13865 ,"6,373"
13901 ,"19,006"
13902 ,"6,172"
13903 ,"18,735"
13904 ,"9,626"
13905 ,"27,543"
14001 ,"9,790"
14004 ,"12,284"
14005 ,"2,032"
14006 ,"9,612"
14008 ,"1,295"
14009 ,"5,532"
14011 ,"9,957"
14012 ,"2,515"
14013 ,"1,732"
14020 ,"23,120"
14024 ,"1,700"
14025 ,"3,210"
14026 ,712
14028 ,"1,423"
14030 ,"1,767"
14031 ,"9,710"
14032 ,"7,853"
14033 ,"2,252"
